
Opening Error Output File (ERROR.TXT) on Tue Mar 18 08:38:10.630, 2025


columns = 32, rows = 32
col_vstep = 129.032257, row_vstep = 129.032257
col_tstep=8.225806, row_tstep=8.225806
num_vertices = 1024, num_polys = 1922
Vertex 73: V[-838.709717, 21.960785, -1741.935547], T[74.032257, 16.451612]
Vertex 74: V[-709.677429, 16.470589, -1741.935547], T[82.258064, 16.451612]
Vertex 75: V[-580.645142, 2.745098, -1741.935547], T[90.483871, 16.451612]
Vertex 76: V[-451.612915, 2.745098, -1741.935547], T[98.709671, 16.451612]
Vertex 77: V[-322.580658, 2.745098, -1741.935547], T[106.935478, 16.451612]
Vertex 78: V[-193.548401, 2.745098, -1741.935547], T[115.161285, 16.451612]
Vertex 79: V[-64.516144, 2.745098, -1741.935547], T[123.387093, 16.451612]
Vertex 80: V[64.516113, 2.745098, -1741.935547], T[131.612900, 16.451612]
Vertex 81: V[193.548370, 2.745098, -1741.935547], T[139.838699, 16.451612]
Vertex 82: V[322.580627, 2.745098, -1741.935547], T[148.064514, 16.451612]
Vertex 83: V[451.612885, 2.745098, -1741.935547], T[156.290314, 16.451612]
Vertex 84: V[580.645142, 5.490196, -1741.935547], T[164.516129, 16.451612]
Vertex 85: V[709.677368, 65.882355, -1741.935547], T[172.741928, 16.451612]
Vertex 86: V[838.709656, 107.058823, -1741.935547], T[180.967743, 16.451612]
Vertex 87: V[967.741943, 101.568626, -1741.935547], T[189.193542, 16.451612]
Vertex 88: V[1096.774170, 107.058823, -1741.935547], T[197.419342, 16.451612]
Vertex 89: V[1225.806396, 107.058823, -1741.935547], T[205.645157, 16.451612]
Vertex 90: V[1354.838623, 107.058823, -1741.935547], T[213.870956, 16.451612]
Vertex 91: V[1483.870972, 109.803925, -1741.935547], T[222.096771, 16.451612]
Vertex 92: V[1612.903198, 109.803925, -1741.935547], T[230.322571, 16.451612]
Vertex 93: V[1741.935425, 63.137257, -1741.935547], T[238.548386, 16.451612]
Vertex 94: V[1870.967773, 16.470589, -1741.935547], T[246.774185, 16.451612]
Vertex 95: V[2000.000000, 2.745098, -1741.935547], T[255.000000, 16.451612]
Vertex 96: V[-2000.000000, 2.745098, -1612.903198], T[0.000000, 24.677418]
Vertex 97: V[-1870.967773, 8.235294, -1612.903198], T[8.225806, 24.677418]
Vertex 98: V[-1741.935547, 63.137257, -1612.903198], T[16.451612, 24.677418]
Vertex 99: V[-1612.903198, 65.882355, -1612.903198], T[24.677418, 24.677418]
Vertex 100: V[-1483.870972, 60.392159, -1612.903198], T[32.903225, 24.677418]
Vertex 101: V[-1354.838745, 63.137257, -1612.903198], T[41.129032, 24.677418]
Vertex 102: V[-1225.806396, 63.137257, -1612.903198], T[49.354836, 24.677418]
Vertex 103: V[-1096.774170, 21.960785, -1612.903198], T[57.580643, 24.677418]
Vertex 104: V[-967.741943, 21.960785, -1612.903198], T[65.806450, 24.677418]
Vertex 105: V[-838.709717, 19.215687, -1612.903198], T[74.032257, 24.677418]
Vertex 106: V[-709.677429, 19.215687, -1612.903198], T[82.258064, 24.677418]
Vertex 107: V[-580.645142, 2.745098, -1612.903198], T[90.483871, 24.677418]
Vertex 108: V[-451.612915, 2.745098, -1612.903198], T[98.709671, 24.677418]
Vertex 109: V[-322.580658, 2.745098, -1612.903198], T[106.935478, 24.677418]
Vertex 110: V[-193.548401, 5.490196, -1612.903198], T[115.161285, 24.677418]
Vertex 111: V[-64.516144, 2.745098, -1612.903198], T[123.387093, 24.677418]
Vertex 112: V[64.516113, 2.745098, -1612.903198], T[131.612900, 24.677418]
Vertex 113: V[193.548370, 2.745098, -1612.903198], T[139.838699, 24.677418]
Vertex 114: V[322.580627, 2.745098, -1612.903198], T[148.064514, 24.677418]
Vertex 115: V[451.612885, 2.745098, -1612.903198], T[156.290314, 24.677418]
Vertex 116: V[580.645142, 2.745098, -1612.903198], T[164.516129, 24.677418]
Vertex 117: V[709.677368, 63.137257, -1612.903198], T[172.741928, 24.677418]
Vertex 118: V[838.709656, 109.803925, -1612.903198], T[180.967743, 24.677418]
Vertex 119: V[967.741943, 150.980392, -1612.903198], T[189.193542, 24.677418]
Vertex 120: V[1096.774170, 153.725494, -1612.903198], T[197.419342, 24.677418]
Vertex 121: V[1225.806396, 194.901962, -1612.903198], T[205.645157, 24.677418]
Vertex 122: V[1354.838623, 194.901962, -1612.903198], T[213.870956, 24.677418]
Vertex 123: V[1483.870972, 241.568634, -1612.903198], T[222.096771, 24.677418]
Vertex 124: V[1612.903198, 194.901962, -1612.903198], T[230.322571, 24.677418]
Vertex 125: V[1741.935425, 150.980392, -1612.903198], T[238.548386, 24.677418]
Vertex 126: V[1870.967773, 63.137257, -1612.903198], T[246.774185, 24.677418]
Vertex 127: V[2000.000000, 2.745098, -1612.903198], T[255.000000, 24.677418]
Vertex 128: V[-2000.000000, 2.745098, -1483.870972], T[0.000000, 32.903225]
Vertex 129: V[-1870.967773, 2.745098, -1483.870972], T[8.225806, 32.903225]
Vertex 130: V[-1741.935547, 8.235294, -1483.870972], T[16.451612, 32.903225]
Vertex 131: V[-1612.903198, 16.470589, -1483.870972], T[24.677418, 32.903225]
Vertex 132: V[-1483.870972, 21.960785, -1483.870972], T[32.903225, 32.903225]
Vertex 133: V[-1354.838745, 19.215687, -1483.870972], T[41.129032, 32.903225]
Vertex 134: V[-1225.806396, 13.725491, -1483.870972], T[49.354836, 32.903225]
Vertex 135: V[-1096.774170, 8.235294, -1483.870972], T[57.580643, 32.903225]
Vertex 136: V[-967.741943, 8.235294, -1483.870972], T[65.806450, 32.903225]
Vertex 137: V[-838.709717, 21.960785, -1483.870972], T[74.032257, 32.903225]
Vertex 138: V[-709.677429, 24.705883, -1483.870972], T[82.258064, 32.903225]
Vertex 139: V[-580.645142, 2.745098, -1483.870972], T[90.483871, 32.903225]
Vertex 140: V[-451.612915, 5.490196, -1483.870972], T[98.709671, 32.903225]
Vertex 141: V[-322.580658, 16.470589, -1483.870972], T[106.935478, 32.903225]
Vertex 142: V[-193.548401, 63.137257, -1483.870972], T[115.161285, 32.903225]
Vertex 143: V[-64.516144, 19.215687, -1483.870972], T[123.387093, 32.903225]
Vertex 144: V[64.516113, 2.745098, -1483.870972], T[131.612900, 32.903225]
Vertex 145: V[193.548370, 2.745098, -1483.870972], T[139.838699, 32.903225]
Vertex 146: V[322.580627, 2.745098, -1483.870972], T[148.064514, 32.903225]
Vertex 147: V[451.612885, 2.745098, -1483.870972], T[156.290314, 32.903225]
Vertex 148: V[580.645142, 2.745098, -1483.870972], T[164.516129, 32.903225]
Vertex 149: V[709.677368, 63.137257, -1483.870972], T[172.741928, 32.903225]
Vertex 150: V[838.709656, 109.803925, -1483.870972], T[180.967743, 32.903225]
